MeshName,NumVertices,SMAPE_Trettner,SMAPE_FastMarching,SMAPE_Heat,SMAPE_Geotangle,SMAPE_Edge,SMAPE_Lanthier
blub_tri_subdiv_3_final.obj,454658,84.5434,84.5303,9.47753,15.5651,16.183,2.0234
blub_tri_subdiv_0.obj,7106,84.5508,84.4935,5.86843,14.6613,16.1872,2.01153
bob_tri_subdiv_2_final.obj,85504,37.4151,37.2974,2.62828,22.883,23.9389,4.70804
spot_tri_subdiv_1_final.obj,11714,71.0193,70.9963,3.25296,10.8642,12.0311,1.62739
blub_tri_subdiv_2_final.obj,113666,84.5429,84.522,5.56403,15.2911,16.1828,2.01697
bob_tri_subdiv_3_final.obj,342016,37.4513,37.3712,3.73068,23.1717,23.956,4.70329
blub_tri_subdiv_1_final.obj,28418,84.5431,84.5046,5.17244,14.7474,16.1635,2.04255
spot_tri_subdiv_3_final.obj,187394,71.0739,71.0507,6.06187,11.6025,11.9689,1.59473
bob_tri_subdiv_0.obj,5344,37.0575,37.1341,6.59759,22.8739,23.8933,4.82701
bob_tri_subdiv_1_final.obj,21376,37.4373,37.2247,3.93262,22.0936,23.8632,4.74431
spot_tri_subdiv_2_final.obj,46850,71.0833,71.0208,3.7359,11.416,11.9887,1.63592
spot_tri_subdiv_0.obj,2930,71.0459,70.9691,4.09911,10.6491,11.8342,1.60001
